CredentialId,Name,Type,BusinessName,DBA,FullCredentialCode,CredentialType,CredentialNumber,CredentialSubCategory,Credential,Status,StatusReason,Active,IssueDate,EffectiveDate,ExpirationDate,Address,City,State,Zip,RecordRefreshedOn
1432875,CONNECTICUT COUNSELING CENTERS INC.,BUSINESS,CONNECTICUT COUNSELING CENTERS INC.,"CONNECTION COUNSELING CENTERS, INC.",SA.0000533,SA,533,,Substance Abuse,ACTIVE,CURRENT,1,06/21/2017,06/21/2017,03/31/2019,50 BROOKSIDE RD,WATERBURY,CT,067081402,06/21/2017
930514,CONNECTICUT COUNSELING CENTERS INC.,BUSINESS,CONNECTICUT COUNSELING CENTERS INC.,"CONNECTICUT COUNSELING CENTERS, INC.",SA.0SA0181,SA,SA0181,,Substance Abuse,ACTIVE,CURRENT,1,07/01/2009,07/01/2017,06/30/2019,20 N MAIN ST,NORWALK,CT,068542656,10/04/2018
975062,COMMUNITY HEALTH CENTER OF WHEREVER YOU ARE PRUDENCE CRANDALL,CORPORATION,COMMUNITY HEALTH CENTER OF WHEREVER YOU ARE PRUDENCE CRANDALL,COMMUNITY HEALTH CENTER OF WHEREVER YOU ARE PRUDENCE CRANDALL,SA.0000407,SA,407,,Substance Abuse,ACTIVE,CURRENT,1,11/12/2010,10/01/2018,09/30/2020,594 BURRITT ST,NEW BRITAIN,CT,060534803,10/04/2018
972610,COMMUNITY HEALTH CENTER OF WHEREVER YOU ARE FRIENDSHIP SERVICES CENTER,CORPORATION,COMMUNITY HEALTH CENTER OF WHEREVER YOU ARE FRIENDSHIP SERVICES CENTER,COMMUNITY HEALTH CENTER OF WHEREVER YOU ARE FRIENDSHIP SERVICES CENTER,SA.0000404,SA,404,,Substance Abuse,ACTIVE,CURRENT,1,10/25/2010,10/01/2018,09/30/2020,241-249 ARCH ST,NEW BRITAIN,CT,060512518,10/03/2018
1395819,FAIR HAVEN COMMUNITY HEALTH CARE AT EAST HAVEN,CORPORATION,FAIR HAVEN COMMUNITY HEALTH CARE AT EAST HAVEN,FAIR HAVEN COMMUNITY HEALTH CARE AT EAST HAVEN,SA.0000528,SA,528,,Substance Abuse,ACTIVE,CURRENT,1,12/29/2016,10/01/2018,09/30/2020,346 HEMINGWAY AVE,EAST HAVEN,CT,065122317,09/17/2018
930311,ANSONIA COUNSELING SERVICES,BUSINESS,ANSONIA COUNSELING SERVICES,ANSONIA COUNSELING SERVICES,SA.0000312,SA,312,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2008,10/01/2018,09/30/2020,121 WAKELEE AVE,ANSONIA,CT,064011198,10/02/2018
930631,BEHAVIORAL HEALTH CENTER,BUSINESS,BEHAVIORAL HEALTH CENTER,BEHAVIORAL HEALTH CENTER,SA.0000329,SA,329,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,54 NORTH ST,WILLIMANTIC,CT,062262528,01/19/2018
929863,"BRIDGES HEALTHCARE, INC.",BUSINESS,"BRIDGES HEALTHCARE, INC.","BRIDGES HEALTHCARE, INC.",SA.0000314,SA,314,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2008,10/01/2018,09/30/2020,270 CENTER ST,WEST HAVEN,CT,065164400,09/26/2018
929864,"BRIDGES HEALTHCARE, INC.",BUSINESS,"BRIDGES HEALTHCARE, INC.","BRIDGES HEALTHCARE, INC.",SA.0000316,SA,316,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2008,10/01/2018,09/30/2020,941 BRIDGEPORT AVE # 949,MILFORD,CT,064603142,08/07/2018
1384855,JAY BROTHERS UNIFIED RESOURCE CENTER,BUSINESS,JAY BROTHERS UNIFIED RESOURCE CENTER,JAY BROTHERS UNIFIED RESOURCE CENTER,SA.0000521,SA,521,,Substance Abuse,ACTIVE,CURRENT,1,10/18/2016,10/01/2018,09/30/2020,480 BOND ST,BRIDGEPORT,CT,066102205,09/27/2018
929656,CONNECTICUT RENAISSANCE INC.,BUSINESS,CONNECTICUT RENAISSANCE INC.,"CONNECTICUT RENAISSANCE, INC.",SA.0000350,SA,350,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2008,10/01/2018,09/30/2020,1 LAFAYETTE CIR,BRIDGEPORT,CT,066046021,09/24/2018
1387959,TURNBRIDGE,BUSINESS,TURNBRIDGE,TURNBRIDGE,SA.0000524,SA,524,,Substance Abuse,ACTIVE,CURRENT,1,11/04/2016,10/01/2018,09/30/2020,189 ORANGE ST,NEW HAVEN,CT,065102014,09/17/2018
1395817,FAIR HAVEN COMMUNITY HEALTH CARE AT 50 GRAND,CORPORATION,FAIR HAVEN COMMUNITY HEALTH CARE AT 50 GRAND,FAIR HAVEN COMMUNITY HEALTH CARE AT 50 GRAND,SA.0000527,SA,527,,Substance Abuse,ACTIVE,CURRENT,1,12/29/2016,10/01/2018,09/30/2020,50 GRAND AVE,NEW HAVEN,CT,065133949,09/17/2018
1126572,FAIR HAVEN COMMUNITY HEALTH CARE,CORPORATION,FAIR HAVEN COMMUNITY HEALTH CARE,FAIR HAVEN COMMUNITY HEALTH CARE,SA.0000441,SA,441,,Substance Abuse,ACTIVE,CURRENT,1,10/09/2012,10/01/2018,09/30/2020,374 GRAND AVE,NEW HAVEN,CT,065133733,09/17/2018
929105,PATRICK F. MCAULIFFE CENTER,BUSINESS,PATRICK F. MCAULIFFE CENTER,PATRICK F. MCAULIFFE CENTER,SA.0000380,SA,380,,Substance Abuse,ACTIVE,CURRENT,1,11/21/2008,10/01/2018,09/30/2020,70 CENTRAL AVE,WATERBURY,CT,067021207,09/17/2018
1598909,WHEREVER YOU ARE MASTER'S MANNA,BUSINESS,WHEREVER YOU ARE MASTER'S MANNA,WHEREVER YOU ARE MASTER'S MANNA,SA.0000574,SA,574,,Substance Abuse,ACTIVE,CURRENT,1,09/11/2018,09/11/2018,06/30/2020,428 S CHERRY ST,WALLINGFORD,CT,064924431,09/11/2018
1595879,"STAYWELL HEALTH CARE, INC.-WILBY-NORTH END SCHOOL BASED HEALTH CENTER",BUSINESS,"STAYWELL HEALTH CARE, INC.-WILBY-NORTH END SCHOOL BASED HEALTH CENTER","STAYWELL HEALTH CARE, INC.-WILBY-NORTH END SCHOOL BASED HEALTH CENTER",SA.0000573,SA,573,,Substance Abuse,ACTIVE,CURRENT,1,08/28/2018,08/28/2018,06/30/2020,534 BUCKS HILL RD,WATERBURY,CT,067041270,08/28/2018
973549,BEHAVIORAL HEALTH CENTER,CORPORATION,BEHAVIORAL HEALTH CENTER,BEHAVIORAL HEALTH CENTER,SA.0000405,SA,405,,Substance Abuse,ACTIVE,CURRENT,1,10/29/2010,10/01/2016,09/30/2020,13 WATER ST,DANIELSON,CT,062392838,08/27/2018
1592218,LIBERTY HOUSE OUTPATIENT,BUSINESS,LIBERTY HOUSE OUTPATIENT,LIBERTY HOUSE OUTPATIENT,SA.0000572,SA,572,,Substance Abuse,ACTIVE,CURRENT,1,08/13/2018,08/13/2018,06/30/2020,83 WASHINGTON ST,NORWICH,CT,063605021,08/13/2018
1389813,CLEARPOINT BEHAVIORAL HEALTH,BUSINESS,CLEARPOINT BEHAVIORAL HEALTH,CLEARPOINT BEHAVIORAL HEALTH,SA.0000525,SA,525,,Substance Abuse,ACTIVE,CURRENT,1,11/17/2016,10/01/2018,09/30/2020,162 KINGS HWY N,WESTPORT,CT,068802444,08/10/2018
1136861,MCCA/TORRINGTON,CORPORATION,MCCA/TORRINGTON,MCCA/TORRINGTON,SA.0000444,SA,444,,Substance Abuse,ACTIVE,CURRENT,1,12/13/2012,10/01/2018,09/30/2020,30 PECK RD,TORRINGTON,CT,067906123,08/10/2018
930833,REVEREND EDWARD M. DEMPSEY DRUG SERVICES,BUSINESS,REVEREND EDWARD M. DEMPSEY DRUG SERVICES,REVEREND EDWARD M. DEMPSEY DRUG SERVICES,SA.0SA0080,SA,SA0080,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2008,10/01/2018,09/30/2020,900 WATERTOWN AVE,WATERBURY,CT,067082011,08/09/2018
1591620,"CHR OUTPATIENT SERVICES, EAST HARTFORD",BUSINESS,"CHR OUTPATIENT SERVICES, EAST HARTFORD","CHR OUTPATIENT SERVICES, EAST HARTFORD",SA.0000571,SA,571,,Substance Abuse,ACTIVE,CURRENT,1,08/09/2018,08/09/2018,06/30/2020,474R SCHOOL ST,EAST HARTFORD,CT,061081149,08/09/2018
1591611,CHR HARTFORD-OUTPATIENT SERVICES,BUSINESS,CHR HARTFORD-OUTPATIENT SERVICES,CHR HARTFORD-OUTPATIENT SERVICES,SA.0000570,SA,570,,Substance Abuse,ACTIVE,CURRENT,1,08/09/2018,08/09/2018,06/30/2020,999 ASYLUM AVE,HARTFORD,CT,061052416,08/09/2018
929081,STATE STREET COUNSELING SERVICES,BUSINESS,STATE STREET COUNSELING SERVICES,STATE STREET COUNSELING SERVICES,SA.0000374,SA,374,,Substance Abuse,ACTIVE,CURRENT,1,08/19/2008,07/01/2018,06/30/2020,911-913 STATE STREET,NEW HAVEN,CT,06511,08/07/2018
1382247,"CONNECTION CENTER FOR BEHAVIORAL HEALTH @ NORWICH, THE",BUSINESS,"CONNECTION CENTER FOR BEHAVIORAL HEALTH @ NORWICH, THE","CONNECTION CENTER FOR BEHAVIORAL HEALTH @ NORWICH, THE",SA.0000518,SA,518,,Substance Abuse,ACTIVE,CURRENT,1,10/03/2016,07/01/2018,06/30/2020,101 WATER ST,NORWICH,CT,063605730,07/31/2018
930836,"YOUTH CHALLENGE OF CONNECTICUT, INC.-MEN'S RESIDENTIAL CENTER",BUSINESS,"YOUTH CHALLENGE OF CONNECTICUT, INC.-MEN'S RESIDENTIAL CENTER","YOUTH CHALLENGE OF CONNECTICUT, INC.-MEN'S RESIDENTIAL CENTER",SA.0SA0065,SA,SA0065,,Substance Abuse,ACTIVE,CURRENT,1,07/01/2008,07/01/2018,06/30/2020,15-17-19 MAY ST,HARTFORD,CT,06105,07/30/2018
929119,NEW ERA REHABILITATION CENTER INC.,BUSINESS,NEW ERA REHABILITATION CENTER INC.,"NEW ERA REHABILITATION CENTER, INC.",SA.0000381,SA,381,,Substance Abuse,ACTIVE,CURRENT,1,12/15/2008,10/01/2018,09/30/2020,311 EAST ST,NEW HAVEN,CT,065115838,07/26/2018
969635,FIRST STEP,CORPORATION,FIRST STEP,FIRST STEP,SA.0000403,SA,403,,Substance Abuse,ACTIVE,CURRENT,1,10/05/2010,10/01/2018,09/30/2020,425 GRANT ST,BRIDGEPORT,CT,066103222,07/24/2018
930059,UNITED SERVICES INC.,BUSINESS,UNITED SERVICES INC.,"UNITED SERVICES, INC.",SA.0000280,SA,280,,Substance Abuse,ACTIVE,CURRENT,1,07/01/2008,07/01/2018,06/30/2020,132 MANSFIELD AVE,WILLIMANTIC,CT,062262027,07/19/2018
929891,CATHOLIC CHARITIES INC.,BUSINESS,CATHOLIC CHARITIES INC.,"CATHOLIC CHARITIES, INC.",SA.0000375,SA,375,,Substance Abuse,ACTIVE,CURRENT,1,08/26/2008,07/01/2018,06/30/2020,501 LOMBARD ST,NEW HAVEN,CT,065132910,07/18/2018
930487,CASA EUGENIO MARIA DE HOSTOS,BUSINESS,CASA EUGENIO MARIA DE HOSTOS,CASA EUGENIO MARIA DE HOSTOS,SA.0SA0081,SA,SA0081,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2008,10/01/2018,09/30/2020,690 ARCTIC ST,BRIDGEPORT,CT,066082008,07/17/2018
1382423,"SHORELINE WELLNESS BEHAVIORAL HEALTH CLINIC, LLC",BUSINESS,"SHORELINE WELLNESS BEHAVIORAL HEALTH CLINIC, LLC","SHORELINE WELLNESS BEHAVIORAL HEALTH CLINIC, LLC",SA.0000519,SA,519,,Substance Abuse,ACTIVE,CURRENT,1,10/04/2016,07/01/2018,06/30/2020,415 MAIN ST,WEST HAVEN,CT,065164296,07/17/2018
929853,ADULT PSYCHIATRIC CLINIC/CHILD AND FAMILY GUIDANCE CLINIC,BUSINESS,ADULT PSYCHIATRIC CLINIC/CHILD AND FAMILY GUIDANCE CLINIC,ADULT PSYCHIATRIC CLINIC/CHILD AND FAMILY GUIDANCE CLINIC,SA.0000305,SA,305,,Substance Abuse,ACTIVE,CURRENT,1,07/01/2008,07/01/2018,06/30/2020,400 COLUMBUS AVE,NEW HAVEN,CT,065191233,07/13/2018
1243576,FAMILIES IN RECOVERY PROGRAM,CORPORATION,FAMILIES IN RECOVERY PROGRAM,FAMILIES IN RECOVERY PROGRAM,SA.0000483,SA,483,,Substance Abuse,ACTIVE,CURRENT,1,09/04/2014,07/01/2018,06/30/2020,4 ELMCREST TER,NORWALK,CT,068503986,07/12/2018
1529636,"UNITED COMMUNITY & FAMILY SERVICES, INC",BUSINESS,"UNITED COMMUNITY & FAMILY SERVICES, INC","UNITED COMMUNITY AND FAMILY SERVICES, INC",SA.0000569,SA,569,,Substance Abuse,ACTIVE,CURRENT,1,07/11/2018,07/11/2018,06/30/2020,226 E MAIN ST,GRISWOLD,CT,063512110,07/11/2018
986604,"FAMILY & CHILDREN'S AGENCY, INC.",CORPORATION,"FAMILY & CHILDREN'S AGENCY, INC.","FAMILY & CHILDREN'S AGENCY, INC.",SA.0000414,SA,414,,Substance Abuse,ACTIVE,CURRENT,1,02/28/2011,07/01/2018,06/30/2020,9 MOTT AVE,NORWALK,CT,068503330,07/10/2018
1236705,"FAMILY & CHILDREN'S AID, INC.",CORPORATION,"FAMILY & CHILDREN'S AID, INC.","FAMILY & CHILDREN'S AID, INC.",SA.0000480,SA,480,,Substance Abuse,ACTIVE,CURRENT,1,07/25/2014,07/01/2018,06/30/2020,80 WEST ST,DANBURY,CT,068106531,07/10/2018
1376713,NEWPORT ACADEMY,BUSINESS,NEWPORT ACADEMY,NEWPORT ACADEMY,SA.0000514,SA,514,,Substance Abuse,ACTIVE,CURRENT,1,08/31/2016,07/01/2018,06/30/2020,64 DOUBLE HILL RD,BETHLEHEM,CT,067511101,07/10/2018
1369479,"MCCALL FOUNDATION, INC.",BUSINESS,"MCCALL FOUNDATION, INC.","MCCALL FOUNDATION, INC.",SA.0000511,SA,511,,Substance Abuse,ACTIVE,CURRENT,1,07/28/2016,07/01/2018,06/30/2020,83 S CANAAN RD,CANAAN,CT,060182502,07/10/2018
1382030,"STAYWELL HEALTH CARE, INC.",BUSINESS,"STAYWELL HEALTH CARE, INC.","STAYWELL HEALTH CARE, INC.",SA.0000517,SA,517,,Substance Abuse,ACTIVE,CURRENT,1,09/30/2016,07/01/2018,06/30/2020,30 CHURCH ST,NAUGATUCK,CT,067704112,07/09/2018
1382459,"APEX COMMUNITY CARE, INC.",BUSINESS,"APEX COMMUNITY CARE, INC.","APEX COMMUNITY CARE, INC.",SA.0000520,SA,520,,Substance Abuse,ACTIVE,CURRENT,1,10/04/2016,07/01/2018,06/30/2020,30 WEST ST,DANBURY,CT,068107842,07/09/2018
992812,"CONNECTICUT RENAISSANCE, INC.",CORPORATION,"CONNECTICUT RENAISSANCE, INC.","CONNECTICUT RENAISSANCE, INC.",SA.0000419,SA,419,,Substance Abuse,ACTIVE,CURRENT,1,04/11/2011,04/01/2017,03/31/2019,17 HIGH ST,NORWALK,CT,068514723,03/02/2017
992679,INTERCOMMUNITY INC.,CORPORATION,INTERCOMMUNITY INC.,INTERCOMMUNITY INC.,SA.0000416,SA,416,,Substance Abuse,ACTIVE,CURRENT,1,04/08/2011,04/01/2017,03/31/2019,287 MAIN ST,EAST HARTFORD,CT,061181885,03/09/2017
992676,"HOCKANUM VALLEY COMMUNITY COUNCIL, INC.",CORPORATION,"HOCKANUM VALLEY COMMUNITY COUNCIL, INC.","HOCKANUM VALLEY COMMUNITY COUNCIL, INC.",SA.0000415,SA,415,,Substance Abuse,ACTIVE,CURRENT,1,04/08/2011,04/01/2017,03/31/2019,27 NAEK RD STE 4,VERNON ROCKVILLE,CT,060663965,04/03/2017
981163,MILESTONE/NEW LIFE CENTER/PATHWAYS,CORPORATION,MILESTONE/NEW LIFE CENTER/PATHWAYS,MILESTONE/NEW LIFE CENTER/PATHWAYS,SA.0000409,SA,409,,Substance Abuse,ACTIVE,CURRENT,1,01/11/2011,10/01/2016,09/30/2018,391 POMFRET ST,PUTNAM,CT,062601852,06/25/2018
947873,WHEREVER YOU ARE SHELTER NOW,CORPORATION,WHEREVER YOU ARE SHELTER NOW,WHEREVER YOU ARE SHELTER NOW,SA.0000402,SA,402,,Substance Abuse,ACTIVE,CURRENT,1,08/09/2010,07/01/2018,06/30/2020,43 SAINT CASIMIR DR,MERIDEN,CT,064505729,04/04/2018
935974,NORTH CENTRAL COUNSELING SERVICES,CORPORATION,NORTH CENTRAL COUNSELING SERVICES,NORTH CENTRAL COUNSELING SERVICES,SA.0000399,SA,399,,Substance Abuse,ACTIVE,CURRENT,1,06/10/2010,04/01/2018,03/31/2020,153 HAZARD AVE,ENFIELD,CT,060824592,03/22/2018
935961,NORTH CENTRAL COUNSELING SERVICES,CORPORATION,NORTH CENTRAL COUNSELING SERVICES,NORTH CENTRAL COUNSELING SERVICES,SA.0000397,SA,397,,Substance Abuse,ACTIVE,CURRENT,1,06/10/2010,04/01/2018,03/31/2020,693 BLOOMFIELD AVE,BLOOMFIELD,CT,060022489,03/22/2018
930964,LEGION AVENUE CLINIC,BUSINESS,LEGION AVENUE CLINIC,LEGION AVENUE CLINIC,SA.0000230,SA,230,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,495 CONGRESS AVE,NEW HAVEN,CT,065191312,11/09/2017
930962,MCCA,BUSINESS,MCCA,MCCA,SA.0SA0215,SA,SA0215,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,38 OLD RIDGEBURY RD,DANBURY,CT,068105128,11/09/2017
930955,"CONNECTION CENTER FOR BEHAVIORAL HEALTH @ OLD SAYBROOK, THE",BUSINESS,"CONNECTION CENTER FOR BEHAVIORAL HEALTH @ OLD SAYBROOK, THE","CONNECTION CENTER FOR BEHAVIORAL HEALTH @ OLD SAYBROOK, THE",SA.0SA0064,SA,SA0064,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,263 MAIN ST,OLD SAYBROOK,CT,064752326,12/06/2017
930952,CENTER FOR HUMAN SERVICES,BUSINESS,CENTER FOR HUMAN SERVICES,CENTER FOR HUMAN SERVICES,SA.0000302,SA,302,,Substance Abuse,ACTIVE,CURRENT,1,04/01/2010,04/01/2018,03/31/2020,2 RESEARCH DR,STRATFORD,CT,066157126,03/20/2018
930881,CONNECTICUT RENAISSANCE INC.,BUSINESS,CONNECTICUT RENAISSANCE INC.,"CONNECTICUT RENAISSANCE, INC.",SA.0000327,SA,327,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2009,10/01/2017,09/30/2019,4 BYINGTON PL,NORWALK,CT,068503309,10/17/2017
930879,PERCEPTION HOUSE,BUSINESS,PERCEPTION HOUSE,PERCEPTION HOUSE,SA.0SA0077,SA,SA0077,,Substance Abuse,ACTIVE,CURRENT,1,04/01/2010,04/01/2018,03/31/2020,134 CHURCH ST,WILLIMANTIC,CT,062262612,02/28/2018
930876,TRINITY GLEN,BUSINESS,TRINITY GLEN,TRINITY GLEN,SA.0SA0014,SA,SA0014,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,149 W CORNWALL RD,SHARON,CT,060692105,02/08/2018
930875,LEBANON PINES LONG TERM CARE,BUSINESS,LEBANON PINES LONG TERM CARE,LEBANON PINES LONG TERM CARE,SA.0SA0020,SA,SA0020,,Substance Abuse,ACTIVE,CURRENT,1,07/01/2009,07/01/2017,06/30/2019,37 CAMP MOWEEN RD,LEBANON,CT,062492704,04/27/2017
930863,HARTFORD DISPENSARY - NORWICH CLINIC,BUSINESS,HARTFORD DISPENSARY - NORWICH CLINIC,HARTFORD DISPENSARY - NORWICH CLINIC,SA.0SA0193,SA,SA0193,,Substance Abuse,ACTIVE,CURRENT,1,04/01/2009,04/01/2017,03/31/2019,772 W THAMES ST,NORWICH,CT,063607070,03/13/2017
930861,ACCESS CENTER,BUSINESS,ACCESS CENTER,ACCESS CENTER,SA.0SA0190,SA,SA0190,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,1 LONG WHARF DR STE 10,NEW HAVEN,CT,065115991,10/25/2017
930860,CONNECTICUT JUNIOR REPUBLIC,BUSINESS,CONNECTICUT JUNIOR REPUBLIC,CONNECTICUT JUNIOR REPUBLIC,SA.0SA0189,SA,SA0189,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,80 PROSPECT ST,WATERBURY,CT,067021327,01/24/2018
930859,CONNECTICUT RENAISSANCE INC.,BUSINESS,CONNECTICUT RENAISSANCE INC.,"CONNECTICUT RENAISSANCE, INC.",SA.0SA0188,SA,SA0188,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,141 FRANKLIN ST,STAMFORD,CT,069011014,12/21/2017
930854,LIBERATION CLINIC,BUSINESS,LIBERATION CLINIC,LIBERATION CLINIC,SA.0SA0175,SA,SA0175,,Substance Abuse,ACTIVE,CURRENT,1,04/01/2010,04/01/2018,03/31/2020,125 MAIN ST,STAMFORD,CT,069012818,03/19/2018
930853,LIBERATION HOUSE,BUSINESS,LIBERATION HOUSE,LIBERATION HOUSE,SA.0SA0174,SA,SA0174,,Substance Abuse,ACTIVE,CURRENT,1,04/01/2010,04/01/2018,03/31/2020,119 MAIN ST,STAMFORD,CT,069012818,03/19/2018
930852,MAIN STREET CLINIC,BUSINESS,MAIN STREET CLINIC,MAIN STREET CLINIC,SA.0SA0173,SA,SA0173,,Substance Abuse,ACTIVE,CURRENT,1,04/01/2010,04/01/2018,03/31/2020,117 MAIN ST,STAMFORD,CT,069012818,03/19/2018
930851,NORTHSIDE COMMUNITY OUTPATIENT SERVICES/CHILD AND FAMILY GUIDANCE CLINIC,BUSINESS,NORTHSIDE COMMUNITY OUTPATIENT SERVICES/CHILD AND FAMILY GUIDANCE CLINIC,NORTHSIDE COMMUNITY OUTPATIENT SERVICES/CHILD AND FAMILY GUIDANCE CLINIC,SA.0SA0167,SA,SA0167,,Substance Abuse,ACTIVE,CURRENT,1,04/01/2010,04/01/2018,03/31/2020,226 DIXWELL AVE,NEW HAVEN,CT,065113456,03/12/2018
930844,"CONNECTION CENTER FOR BEHAVIORAL HEALTH @ MIDDLETOWN, THE",BUSINESS,"CONNECTION CENTER FOR BEHAVIORAL HEALTH @ MIDDLETOWN, THE","CONNECTION CENTER FOR BEHAVIORAL HEALTH @ MIDDLETOWN, THE",SA.0SA0111,SA,SA0111,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,196 COURT ST,MIDDLETOWN,CT,064573302,12/06/2017
