Location_Name,Address,City,State,ZIP,Location,UniqueId,Zip Code,Planning Regions,Town Index,Counties
NEW CANAAN POLICE DEPARTMENT,174 SOUTH AVE,NEW CANAAN,CT,,"174 SOUTH AVE
CT 06840-5728
(41.140987, -73.491262)",1036989,180,9,90,1040
BRISTOL POLICE DEPARTMENT,131 NORTH MAIN STREET,BRISTOL,CT,,"131 NORTH MAIN STREET
CT 06010
(41.674226, -72.946121)",1424496,219,4,17,1041
DARIEN POLICE DEPARTMENT,25 HECKER AVE,DARIEN,CT,,"25 HECKER AVE
CT 06820-5308
(41.06904, -73.479388)",1177013,5,9,35,1040
WATERTOWN POLICE DEPARTMENT,195 FRENCH ST,WATERTOWN,CT,,"195 FRENCH ST
CT 06795-2921
(41.597995, -73.106733)",1078793,269,4,153,1042
DESPP DIVISION OF STATE POLICE TROOP C,1320 TOLLAND STAGE RD,TOLLAND,CT,,"1320 TOLLAND STAGE RD
CT 06084-3111
(41.88635, -72.323246)",1342241,255,1,142,38
ANSONIA POLICE DEPARTMENT,2 ELM ST,ANSONIA,CT,,"2 ELM ST
CT 06401-3310
(41.332809, -73.073171)",1075890,102,4,2,1044
SOUTH WINDSOR POLICE DEPARTMENT,151 SAND HILL RD,SOUTH WINDSOR,CT,,"151 SAND HILL RD
CT 06074-2026
(41.836636, -72.551883)",1157538,89,1,132,1041
COLCHESTER RESIDENT TROOPERS OFFICE,127 NORWICH AVE,COLCHESTER,CT,,"127 NORWICH AVE
CT 06415-1230
(41.574632, -72.327985)",1064593,235,8,28,1045
DESPP DIVISION OF STATE POLICE TROOP L,452 BANTAM RD # A,LITCHFIELD,CT,,"452 BANTAM RD
A, CT 06759-3201
(41.735689, -73.215821)",1343032,264,6,74,1042
WESTPORT POLICE DEPARTMENT,50 JESUP RD,WESTPORT,CT,,"50 JESUP RD
CT 06880-4309
(41.140788, -73.361895)",1210344,179,9,158,1040
WESTON POLICE DEPARTMENT,56 NORFIELD ROAD,WESTON,CT,,"56 NORFIELD ROAD
CT 06883
(41.201701, -73.37836)",1508431,85,9,157,1040
TRUMBULL POLICE DEPARTMENT,158 EDISON RD,TRUMBULL,CT,,"158 EDISON RD
CT 06611-4139
(41.234989, -73.218714)",1191675,76,2,144,1040
BROOKFIELD POLICE DEPARTMENT,63 SILVERMINE RD,BROOKFIELD,CT,,"63 SILVERMINE RD
CT 06804-2014
(41.467519, -73.404679)",1131779,173,9,18,1040
WATERFORD POLICE DEPARTMENT,41 AVERY LN,WATERFORD,CT,,"41 AVERY LN
CT 06385-2202
(41.344559, -72.137161)",1043428,140,8,152,1045
WOODBRIDGE POLICE DEPARTMENT,4 MEETING HOUSE LANE,WOODBRIDGE,CT,,"4 MEETING HOUSE LANE
CT 06525
(41.354375, -73.012425)",1421704,61,7,167,1044
BLOOMFIELD POLICE DEPARTMENT,785 PARK AVE,BLOOMFIELD,CT,,"785 PARK AVE
CT 06002-2444
(41.829045, -72.733347)",1234064,224,1,11,1041
CITY OF GROTON POLICE DEPARTMENT,295 MERIDIAN ST,GROTON,CT,,"295 MERIDIAN ST
CT 06340-4012
(41.354857, -72.070771)",1075254,243,8,59,1045
DESPP DIVISION OF STATE POLICE TROOP B,463B ASHLEY FALLS ROAD,NORTH CANAAN,CT,,"463B ASHLEY FALLS ROAD
CT 06018
(42.042467, -73.325516)",1342876,233,6,100,1042
MOHEGAN TRIBAL POLICE,49 SANDY DESERT RD,UNCASVILLE,CT,,"49 SANDY DESERT RD
CT 06382-1111
(41.492638, -72.095818)",1338385,15,8,86,1045
Hamden Police Department,2900 Dixwell Avenue,Hamden,CT,,"2900 Dixwell Avenue
CT 06518
(41.383609, -72.903781)",1599067,100,7,62,1044
OXFORD RESIDENT TROOPERS OFFICE,429 OXFORD RD,OXFORD,CT,,"429 OXFORD RD
CT 06478-1231
(41.434116, -73.116374)",1452041,12,4,108,1044
SOMERS POLICE DEPARTMENT,451 MAIN ST,SOMERS,CT,,"451 MAIN ST
CT 06071-2051
(41.984191, -72.459681)",1234907,143,1,129,38
CLINTON POLICE DEPARTMENT,170 E MAIN ST,CLINTON,CT,,"170 E MAIN ST
CT 06413-2116
(41.275668, -72.511842)",1244132,271,3,27,1043
DESPP DIVISION OF STATE POLICE TROOP K,15A OLD HARTFORD RD,COLCHESTER,CT,,"15A OLD HARTFORD RD
CT 06415-2714
(41.579353, -72.339296)",1342184,235,8,28,1045
UNIVERSITY OF CONNECTICUT POLICE DEPARTMENT,126 NORTH EAGLEVILLE ROAD,STORRS MANSFIELD,CT,,"126 NORTH EAGLEVILLE ROAD
CT 06269
(41.809347, -72.261024)",1442706,33,1,78,38
EAST HARTFORD POLICE DEPT,31 SCHOOL ST,E  HARTFORD,CT,,"31 SCHOOL ST
CT 06108
(41.780422, -72.611324)",1121660,119,1,43,1041
HARTFORD POLICE DEPARTMENT,253 HIGH ST,HARTFORD,CT,,"253 HIGH ST
CT 06103-1041
(41.772331, -72.677839)",1262646,82,1,64,1041
REDDING POLICE DEPT.,96 HILL RD,REDDING,CT,,"96 HILL RD
CT 06896-2007
(41.303853, -73.382999)",1057464,154,9,117,1040
NEW BRITAIN POLICE DEPARTMENT,10 CHESTNUT ST,NEW BRITAIN,CT,,"10 CHESTNUT ST
CT 06051-2654
(41.66566, -72.781313)",1349023,17,1,89,1041
PLAINFIELD POLICE DEPARTMENT,210 NORWICH RD,PLAINFIELD,CT,,"210 NORWICH RD
CT 06374-1622
(41.705018, -71.905439)",1294297,36,5,109,39
PORTLAND POLICE DEPARTMENT,265 MAIN STREET,PORTLAND,CT,,"265 MAIN STREET
CT 06480
(41.575749, -72.638547)",1441599,126,3,113,1043
NEWINGTON POLICE DEPARTMENT,131 CEDAR ST,NEWINGTON,CT,,"131 CEDAR ST
CT 06111-2644
(41.697027, -72.731088)",1181426,86,1,94,1041
NORWICH POLICE DEPARTMENT,70 THAMES ST,NORWICH,CT,,"70 THAMES ST
CT 06360-5646
(41.522143, -72.081757)",1157341,14,8,104,1045
COVENTRY POLICE DEPARTMENT,1585 MAIN ST,COVENTRY,CT,,"1585 MAIN ST
CT 06238-1749
(41.777738, -72.309663)",1250708,145,1,32,38
CANTON POLICE DEPARTMENT,45 RIVER RD,COLLINSVILLE,CT,,"45 RIVER RD
CT 06019-3174
(41.816578, -72.920008)",1081985,80,1,23,1041
